tweet_id,retweet_count,favorite_count,favorited,retweeted
672898206762672129,16474.0,53632.0,False,False
672902681409806336,3452.0,0.0,False,False
672964561327235073,5934.0,25844.0,False,False
672968025906282496,11305.0,36880.0,False,False
672970152493887488,1365.0,9617.0,False,False
672975131468300288,1178.0,6415.0,False,False
672980819271634944,1305.0,7757.0,False,False
672984142909456390,2238.0,12722.0,False,False
672988786805112832,1086.0,7457.0,False,False
672995267319328768,2978.0,12683.0,False,False
672997845381865473,173.0,2219.0,False,False
673148804208660480,2910.0,11888.0,False,False
673213039743795200,2170.0,10467.0,False,False
673240798075449344,5310.0,20332.0,False,False
673270968295534593,3053.0,15660.0,False,False
673295268553605120,955.0,7525.0,False,False
673317986296586240,3098.0,16036.0,False,False
673320132811366400,,,,
673342308415348736,2252.0,10697.0,False,False
673343217010679808,5082.0,21834.0,False,False
673345638550134785,10306.0,36800.0,False,False
673350198937153538,4035.0,0.0,False,False
673352124999274496,257.0,5175.0,False,False
673355879178194945,2377.0,10165.0,False,False
673359818736984064,4252.0,18639.0,False,False
673363615379013632,2643.0,13462.0,False,False
673576835670777856,937.0,4940.0,False,False
673580926094458881,3179.0,15851.0,False,False
673583129559498752,1898.0,10606.0,False,False
673612854080196609,2522.0,12889.0,False,False
673636718965334016,17764.0,57496.0,False,False
673656262056419329,4608.0,18542.0,False,False
673662677122719744,1281.0,0.0,False,False
673680198160809984,1281.0,6394.0,False,False
673686845050527744,5576.0,0.0,False,False
